"Distribuicao","AreaBasal","Profundidade","Exposicao","Area"
0,103.570504133105,1,0,2
0,103.37507754619,0,0,3
0,103.539718177165,0,1,4
0,104.457965971032,1,0,5
0,105.114851935764,1,0,3
0,84.2507075466062,0,0,2
0,98.8094691091211,0,0,1
0,100.899710500415,0,0,2
0,105.797409621182,0,1,1
0,90.5001113919577,0,1,3
0,96.0031984814727,1,1,2
0,91.4108560739907,0,0,2
0,108.457921701677,0,0,1
0,110.232580665675,0,0,1
0,106.301413802874,0,0,1
0,90.2207729393841,0,1,1
0,103.615616933893,0,1,2
0,109.203593491047,0,0,3
0,101.343527845892,1,0,2
0,95.4711253368322,0,0,2
0,91.3110540751092,0,1,1
0,94.6775776355188,0,1,3
0,105.718786847595,0,1,1
0,96.5467111969446,0,1,3
0,101.820919519521,0,0,1
0,110.359566365362,0,0,1
0,104.626679523756,0,0,1
0,110.917382251788,1,1,2
0,86.3873615787167,1,1,3
0,97.7545897622897,1,0,1
0,100.520544155938,0,0,1
0,104.628714332868,0,1,1
0,90.6463470277682,0,1,3
0,106.449478843578,0,0,1
0,102.459120609299,0,0,2
0,102.110448108838,0,0,1
0,104.06787833284,0,1,4
0,99.069132480984,0,1,1
0,107.404368787993,1,0,4
0,105.185838189852,1,0,2
0,98.7983250066584,0,0,1
0,108.323016154726,0,0,1
0,102.340469479569,1,0,1
0,105.350011195516,0,0,2
0,95.2465788670062,0,0,2
0,112.643454695887,0,1,2
0,99.9680884452001,1,0,1
0,106.782742151148,0,0,2
0,99.1990677928585,0,1,4
0,97.7629607441552,1,1,1
0,106.27550596224,1,0,1
0,87.3230668432706,1,0,1
0,103.826929182352,1,1,1
0,103.148530983959,0,1,2
0,78.4373650470039,0,1,5
0,102.947018628266,1,0,3
0,82.652658021224,0,1,1
0,105.278435015142,0,0,2
0,96.3686901329505,0,0,3
0,94.4405053981208,1,0,1
0,99.9452295746187,1,0,4
0,110.984416359872,0,0,2
0,94.9174153822568,0,0,1
0,104.46482635159,0,0,3
0,102.729262947375,0,1,2
0,90.5638509668675,0,0,3
0,86.0718238613282,1,0,1
0,84.0593138300869,1,0,3
0,104.410193691743,0,0,1
0,99.7220635077496,0,1,4
0,114.804573628885,1,1,2
0,104.589400866104,1,0,1
0,106.797567128661,0,1,2
0,110.67506868268,0,1,1
0,95.9942472162802,0,0,2
0,104.080783425828,0,1,1
0,106.950346161953,0,0,3
0,110.954813504024,0,0,1
0,106.101209170611,1,1,1
0,103.369177384299,0,0,1
0,93.0542076218302,0,1,1
0,105.836482887662,0,1,1
0,104.002126979346,1,0,1
0,105.074002029655,0,0,3
0,103.389160364578,0,0,1
0,98.38529564232,0,0,3
0,99.3850728125279,0,0,1
0,105.498912906252,0,0,2
0,101.373052055396,1,0,2
0,93.3591314053841,0,0,1
0,97.6787270415547,0,1,1
0,89.4469942065879,1,0,1
0,92.2637447786487,0,1,1
0,98.8431114389159,1,1,5
0,85.6149395490006,1,0,3
0,86.4916602032674,0,1,1
0,108.820521595489,0,0,2
0,95.3870486063085,1,1,1
0,85.1864661635881,1,0,1
0,99.0970940845682,0,0,1
0,110.568554137772,0,1,1
0,105.298034375477,0,0,2
0,103.531065586829,1,0,1
0,109.469967298239,0,1,1
0,93.8279884711929,0,0,2
0,105.837513530816,1,0,2
0,95.3033150737691,0,1,1
0,100.0061134909,0,0,1
0,117.715722554721,0,0,1
0,107.755475165674,0,0,1
0,106.144061709738,0,1,3
0,91.1333767054547,0,0,3
0,93.7101126400423,0,1,1
0,118.272931842093,1,1,3
0,91.2535938882135,0,0,1
0,101.715835002281,0,0,2
0,107.140568477097,1,1,1
0,108.150063778738,0,0,4
0,108.712896087354,0,1,2
0,98.6949680809183,0,0,1
1,136.990535770075,1,1,5
1,135.031507044506,0,0,4
1,145.133925280375,1,1,5
1,143.755306513032,0,0,4
1,132.454167313356,1,1,1
1,139.524262745754,0,1,4
1,135.520260886217,0,0,3
1,129.64624464729,1,1,5
1,140.750600655941,0,1,2
1,139.603941453707,0,0,3
1,139.513153662435,0,1,2
1,141.080762709006,0,0,2
1,144.412325821983,0,1,1
1,141.027987522417,1,1,5
1,136.917820785632,1,1,4
1,136.326003740394,1,0,4
1,139.340986034794,0,0,4
1,141.550084932895,1,1,2
1,134.80159823649,0,1,4
1,139.078455655788,1,1,1
1,144.83633630084,1,1,5
1,139.458599543828,0,1,4
1,136.507896662028,1,1,5
1,138.620274157872,1,1,5
1,145.57324272681,0,1,5
1,142.750219806071,0,1,3
1,146.183379000408,0,1,2
1,140.695489285809,0,1,3
1,142.051375482452,1,1,4
1,137.207715438259,0,1,4
1,143.026853344652,0,0,3
1,137.468332289054,1,1,3
1,132.897172476521,1,1,2
1,140.639964828421,1,1,1
1,149.729256088657,0,1,2
1,144.004571697865,1,0,4
1,145.826266949731,1,1,2
1,141.794278615466,1,1,5
1,136.957214108419,1,1,1
1,138.988795724449,0,1,1
1,138.63375946594,1,1,4
1,137.65650110109,1,1,2
1,143.520836419649,1,0,5
1,134.013182488173,1,1,3
1,144.331830660564,1,0,2
1,144.320762431129,0,1,4
1,134.006888204656,1,1,5
1,143.197459989503,0,1,4
1,152.151133261723,1,1,3
1,137.213922590292,0,0,5
1,144.22452120704,1,1,1
1,136.088990771903,1,1,1
1,145.553557091014,0,1,5
1,141.249123599633,1,1,1
1,148.259576958116,1,1,5
1,132.705146357315,0,1,3
1,139.743510569373,1,0,2
1,137.365374119372,0,1,3
1,139.013675654619,0,1,4
1,136.85210628657,0,1,5
1,135.830782097325,0,1,3
1,142.893611873082,1,1,4
1,134.562096429615,0,1,5
1,147.420154657781,1,1,1
1,134.068967073431,1,1,2
1,140.505395756976,0,1,4
1,142.664946434132,1,1,1
